video_id,title,views,likes,comments,publish_days,subscribers
4teiHNxH4Dc,要搬家了！跟舊家告別，留下最後的回憶吧！｜啾啾鞋,152319,1931,75,281,1590000
r7I9n6J-TRw,AI迷因大量失控中！馬保國真的打出閃電五連鞭！杰哥慘遭阿偉反擊？｜一探究竟｜啾啾鞋,216765,5564,666,162,1590000
LnW05q-Zkqs,重考當年國中基測，我現在還上得了台中一中嗎?! | 啾啾鞋,495497,9610,1046,1498,1590000
XEQisnDms7g,我又被教召了！,375224,10336,777,814,1590000
wrFmRxQ73-Y,據說任何圖片只要疊上這張圖，就會劇烈搖晃? 推特瘋傳的搖晃錯視圖原理是什麼? | 一探啾竟 第75集 | 啾啾鞋,830215,18279,1307,1911,1590000
bbtidpdWZ8A,馬英九參戰！扁韓馬黃金三角一起選總統，票數會突破天際嗎？｜模擬總統大選（下）｜神扯電玩｜啾啾鞋,242754,4701,451,364,1590000
c9LeU0O1QW8,大學時為了賺錢，我試過的各種五花八門奇怪方法! | 啾來聊聊 第62集 | 啾啾鞋,463383,13372,697,1568,1590000
wlrzQjiprbA,坐一天牢抵16萬！她如何五鬼搬運掏空公司資產，坑殺無數散戶投資人？｜啾啾鞋,675976,13656,958,954,1590000
nm3ob5AzW9M,身邊太多誘惑，讓你改不掉壞習慣? 試試這招! | 啾來聊聊 第51集 | 啾啾鞋,496671,17305,973,2768,1590000
K7jm3kTcbK0,Google無時無刻不在偷聽你講話? 實測Google是否用麥克風監聽! | 啾啾鞋,1831439,25965,3046,2439,1590000
CCehRBRh7YI,為什麼網路速度買很快，但用起來卻還是卡卡的? | 一探啾竟 第53集 | 啾啾鞋,653191,15246,1008,2341,1590000
rHy2GqQhjSY,今年股票虧錢的請進...,144057,3603,223,765,1590000
VgljJlOmtlY,緊急胸罩? #shorts,466453,19434,544,849,1590000
9NYElmd5Dj0,種花再也不用澆水了? 可以自動從大氣吸取水分的土壤! | 啾啾鞋,131068,5534,572,1508,1590000
z6pAAb5U2Mc,為什麼有些人看到太陽就會想打噴嚏? | 超邊緣冷知識 第49集 | 啾啾鞋,175172,6936,969,2387,1590000
RpFK-LZk-fI,【啾極知識王 EP1】滴妹的小被被是什麼顏色、第一則IG貼文內容是? ft.阿滴,659066,16406,1771,1984,1590000
WJdAXHFQWI0,為什麼刮黑板的聲音讓人難以忍受? | 超邊緣冷知識 第73集 |  啾啾鞋,316220,7815,2154,2124,1590000
d7CFZ8dH550,網壇四大天王、大馬羽球一哥的線他們都穿過! 成功的選手背後默默努力的「穿線師」!  | 啾啾鞋,277144,7105,345,1766,1590000
CLpjVuOFJxg,Neuralink最新黑科技！猴子直接用意識操控來玩電玩！｜啾啾鞋,139775,4881,555,1346,1590000
05k_GUDM4B8,《柯南》、《航海王》都有他們的身影! 兩位傳說中的女海盜的故事... | 啾啾鞋,89829,2859,356,1260,1590000
ktgf4wmAIL0,這回不韭了! 加密貨幣遊戲-幣安英雄崩盤，完美閃過出場!,237548,6318,533,1108,1590000
AEsjFd0Dowo,剛剪完這支片股價就暴跌... | Fedex聯邦快遞 | 巨頭的起源,248509,6032,318,821,1590000
gPTPvdHyCtk,新家裝潢完工開箱～打掉一房的好處跟壞處？室內30坪怎樣裝潢最實用？｜啾啾鞋,185400,3158,301,113,1590000
bhv6rCXV2ug,你也曾經有「肉球」，而且它決定了「你是誰」！,122758,4196,258,1078,1590000
3dDSMhMtSrM,為什麼殺人標題會有效? | 啾來聊聊2015 第16集 | 啾啾鞋,89839,2029,122,3493,1590000
SoAskruG28E,「卡通頻道 」興衰史 (1992-2022),791717,21207,2085,792,1590000
-qwbCds82wI,超音波貼片！#shorts,175909,7003,104,868,1590000
7XUViI9LCXc,他用一張地圖，阻止了霍亂疫情大爆發! John Snow的故事與現代地理圖資的應用 | 啾啾鞋,356909,12018,477,1774,1590000
bL1Ds2H6OUM,史上第一位俄羅斯方塊「全破」紀錄🔥 255關全通關後讓遊戲「重生」！中間竟然還有「地獄級」難度的隱藏關卡🤯🤯🤯｜神扯電玩｜啾啾鞋,306043,7954,261,49,1590000
wDpCjpwQ0Dg,【實測】粉筆界的勞斯萊斯!? 現役補教名師實測傳說中的粉筆是否真的這麼好用! | 啾啾鞋,1176574,18806,1601,1939,1590000
amAzDm0DCTQ,【趣聞】全日本枕頭大戰! #shorts,414260,18109,194,1044,1590000
kuSHEIshBq4,準大學生暑假的Dos&Don'ts | 啾來聊聊2015 第21集 | 啾啾鞋,151092,3702,151,3451,1590000
92gkMonksD8,開三輪車打馬球是什麼奇葩運動？#shorts,13627,450,8,313,1590000
n7-i-ytWqVg,學測自然科大挑戰!! 畢業八年到底還能拿幾分? | 啾啾鞋,417449,7723,1047,2152,1590000
iqrGNOCp5Cg,連定存都可以騙到80億美元！僅次於馬多夫的龐氏騙局之王！史丹佛金融集團詐騙案,556097,9755,443,554,1590000
Dn-2srP-CPU,為什麼「鬼」就應該是透明的？,94661,3379,300,449,1590000
woONEMtasmY,罐頭笑聲是誰發明的? 真的有用嗎? | 一探啾竟 第70集 | 啾啾鞋,374277,9173,872,1970,1590000
IaC-Js3oHsw,這部影片比「冠希阿北」對比圖還要狠...,649442,18155,2245,603,1590000
Aup3DT8Ywe4,利用「電磁場」治療糖尿病的全新療法? 有可能真的實現嗎? | 啾啾鞋,115216,4662,378,1526,1590000
otkJUVoOafA,【實測】號稱能消除甲醛的空氣清淨機，真的能發揮功效嗎? Dyson Pure Hot+Cool Cryptomic三合一涼暖智慧空氣清淨機 | 啾啾鞋,261227,3937,343,1879,1590000
9npwKczBlcs,【漫遊生產線】手工皮鞋的製造過程 | 啾啾鞋,116753,3669,378,1834,1590000
AD8VaLxP9AA,藍色代表男生，粉紅色代表女生是源自何處? 別再被制約啦! | 超邊緣冷知識 第51集 | 啾啾鞋,278400,8032,806,2362,1590000
nure17nSwiI,電子發票怎麼申請、怎麼用? | 啾啾鞋,264147,6233,632,2632,1590000
ZBDPOqDiubg,"你知道大象可以用""腳""來溝通嗎? | 超邊緣冷知識 第69集 | 啾啾鞋",121381,3893,244,2166,1590000
RoVKWBeNf9k,可以去除馬賽克的AI...跟我想像的不一樣啊! | 啾啾鞋,556824,15904,967,1589,1590000
